"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"87","Teocali View","control","2011",2011-07-21,"21","21.21",27,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"88","Teocali View","control","2011",2011-07-21,"21","21.21",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"89","Teocali View","control","2011",2011-07-21,"22","22.22",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"90","Teocali View","control","2011",2011-07-21,"22","22.22",4,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"91","Teocali View","control","2011",2011-07-21,"23","23.23",13,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"92","Teocali View","control","2011",2011-07-21,"25","25.25",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"93","Teocali View","control","2011",2011-07-21,"25","25.25",22,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"94","Teocali View","control","2011",2011-07-21,"26","26.26",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"95","Teocali View","control","2011",2011-07-21,"28","28.28",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"96","Teocali View","control","2011",2011-07-21,"29","29.29",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"97","Teocali View","control","2011",2011-07-21,"30","30.30",19,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"98","Teocali View","manipulation","2011",2011-07-23,"46","46.46",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"99","Teocali View","manipulation","2011",2011-07-23,"47","47.47",6,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"100","Teocali View","manipulation","2011",2011-07-23,"48","48.48",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"101","Teocali View","manipulation","2011",2011-07-23,"48","48.48",23,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"102","Teocali View","manipulation","2011",2011-07-23,"49","49.49",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"103","Teocali View","manipulation","2011",2011-07-23,"49","49.49",23,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"104","Teocali View","manipulation","2011",2011-07-23,"50","50.50",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"105","Teocali View","manipulation","2011",2011-07-23,"51","51.51",13,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"106","Teocali View","manipulation","2011",2011-07-23,"51","51.51",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"107","Teocali View","manipulation","2011",2011-07-23,"52","52.52",3,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"108","Teocali View","manipulation","2011",2011-07-23,"54","54.54",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"109","Teocali View","manipulation","2011",2011-07-23,"54","54.54",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"110","Teocali View","manipulation","2011",2011-07-23,"55","55.55",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"111","Teocali View","manipulation","2011",2011-07-23,"55","55.55",18,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"112","Teocali View","manipulation","2011",2011-07-23,"56","56.56",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"113","Teocali View","manipulation","2011",2011-07-23,"57","57.57",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"114","Teocali View","manipulation","2011",2011-07-23,"57","57.57",18,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"115","Teocali View","manipulation","2011",2011-07-23,"60","60.60",0,26,5,0.326386314646741,2327,0.191160765628851,0.769230769230769,20,0.578947368421053,0.0235628681698152,0.876701198456226,"Bombus nevadensis",207,0.888412017167382
"116","Gothic Road Grate.2011","control","2011",2011-07-27,"1","1.1",11,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"117","Gothic Road Grate.2011","control","2011",2011-07-27,"2","2.2",17,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
